"","mean","sd","median","min","max","n"
"d.especific",0.683024691358025,0.465369535505854,1,0,1,3240
"d.trazabilidad",0.645679012345679,0.478380870792552,1,0,1,3240
"d.problemas",0.523456790123457,0.499526569302899,1,0,1,3240
"d.mejoracont",0.378086419753086,0.484984200288976,0,0,1,3240
"d.gesproydis",0.325617283950617,0.46867735614761,0,0,1,3240
"dnorm.calidad",0.520987654320988,0.499636434509289,1,0,1,3240
"d.rotacion",0.326543209876543,0.469020934733694,0,0,1,3240
"part.personal",0.633333333333333,0.901167298991615,0,0,3,3240
"depto.id",0.293827160493827,0.455584043835145,0,0,1,3240
"prop.prof",7.17046407591935,10.6460337602532,3.96607927481333,0,100,3240
"prop.tec",8.37494418468526,12.586103154847,4.169114112854,0,100,3240
"dcap.func",0.452469135802469,0.497812518696333,0,0,1,3240
"capacit.jer",20.2019537037037,33.4716111866242,0,0,100,3240
"capacit.nojer",24.6224969135802,38.7234499617133,0,0,100,3240
"d.incent",0.376851851851852,0.484672090984429,0,0,1,3240
"dvinc.firmas",0.351234567901235,0.47742978312704,0,0,1,3240
"dvinc.pub",0.287037037037037,0.452448846271034,0,0,1,3240
